,TEAM,Team_id,year,month,FGA,FG_P,3PA,3P_P,OFFRTG,DEFRTG,REB_P,AST/TO,PACE
105,Phoenix Suns,Phoenix Suns_1_2011,2011,1,81.9,45.9,22.9,38.4,106.5,107.0,47.5,1.6,95.34
106,Dallas Mavericks,Dallas Mavericks_1_2011,2011,1,77.1,44.8,23.1,36.5,105.6,108.2,48.2,1.7,89.53
107,Golden State Warriors,Golden State Warriors_1_2011,2011,1,84.3,47.8,21.8,39.8,110.3,110.7,46.9,1.58,95.93
108,New York Knicks,New York Knicks_1_2011,2011,1,86.3,44.5,24.6,36.3,109.1,108.2,46.3,1.76,96.47
109,Milwaukee Bucks,Milwaukee Bucks_1_2011,2011,1,78.4,45.7,15.4,35.8,104.3,103.0,50.1,1.54,89.86
110,Utah Jazz,Utah Jazz_1_2011,2011,1,79.3,45.7,16.1,36.8,105.7,110.9,48.9,1.7,92.65
111,Detroit Pistons,Detroit Pistons_1_2011,2011,1,80.1,44.2,15.5,36.1,106.1,111.1,48.9,1.69,88.12
112,New Jersey Nets,New Jersey Nets_1_2011,2011,1,77.9,46.0,14.1,38.9,104.3,110.7,51.3,1.57,89.29
113,Sacramento Kings,Sacramento Kings_1_2011,2011,1,86.9,46.1,13.6,32.3,104.3,105.5,51.0,1.41,95.79
114,Houston Rockets,Houston Rockets_1_2011,2011,1,85.5,44.7,22.3,32.7,108.6,110.7,49.6,1.74,94.23
115,Washington Wizards,Washington Wizards_1_2011,2011,1,83.0,45.4,14.8,35.2,102.7,109.2,49.3,1.5,94.38
116,Indiana Pacers,Indiana Pacers_1_2011,2011,1,84.3,43.6,21.1,37.5,105.4,108.1,51.7,1.43,94.79
117,Minnesota Timberwolves,Minnesota Timberwolves_1_2011,2011,1,85.3,45.1,19.7,37.7,105.2,107.6,51.1,1.18,97.2
118,Toronto Raptors,Toronto Raptors_1_2011,2011,1,83.9,46.0,12.4,28.6,102.5,112.7,47.0,1.66,93.19
119,Cleveland Cavaliers,Cleveland Cavaliers_1_2011,2011,1,81.3,42.0,16.8,33.1,97.1,114.9,47.9,1.32,95.69
120,Dallas Mavericks,Dallas Mavericks_2_2011,2011,2,83.1,50.4,22.1,40.8,115.4,106.4,51.8,1.82,94.42
121,Miami Heat,Miami Heat_2_2011,2011,2,78.4,49.0,17.4,33.0,110.5,103.4,50.7,1.41,93.42
122,Philadelphia 76ers,Philadelphia 76ers_2_2011,2011,2,81.6,48.3,14.0,35.1,109.8,100.5,51.1,1.84,93.71
123,Phoenix Suns,Phoenix Suns_2_2011,2011,2,84.6,47.2,24.0,37.2,109.6,103.0,50.1,1.87,93.71
124,San Antonio Spurs,San Antonio Spurs_2_2011,2011,2,79.2,47.8,18.1,44.7,109.0,102.7,50.5,1.68,91.67
125,Chicago Bulls,Chicago Bulls_2_2011,2011,2,80.2,46.9,18.4,35.1,110.5,103.5,55.4,1.58,90.05
126,Los Angeles Lakers,Los Angeles Lakers_2_2011,2011,2,79.9,46.6,15.9,33.8,106.6,103.3,51.8,1.7,89.91
127,Houston Rockets,Houston Rockets_2_2011,2011,2,88.3,44.7,26.3,35.8,112.9,110.5,49.8,2.15,93.3
128,Memphis Grizzlies,Memphis Grizzlies_2_2011,2011,2,84.1,46.9,9.8,37.3,107.0,102.1,49.8,1.52,93.5
129,Portland Trail Blazers,Portland Trail Blazers_2_2011,2011,2,76.9,47.1,17.9,37.2,109.9,108.8,47.3,1.67,88.79
130,Boston Celtics,Boston Celtics_2_2011,2011,2,77.3,44.9,13.7,33.1,102.1,98.5,49.1,1.57,91.91
131,Orlando Magic,Orlando Magic_2_2011,2011,2,82.2,45.0,26.1,32.8,106.9,98.4,51.9,1.59,92.59
132,Indiana Pacers,Indiana Pacers_2_2011,2011,2,84.1,45.4,17.4,36.3,108.8,105.5,51.8,1.15,95.74
133,Golden State Warriors,Golden State Warriors_2_2011,2011,2,85.7,45.6,21.1,36.6,106.9,110.1,46.6,1.72,93.59
134,Oklahoma City Thunder,Oklahoma City Thunder_2_2011,2011,2,79.3,46.7,20.4,38.4,110.9,106.7,50.7,1.43,93.03
135,Denver Nuggets,Denver Nuggets_2_2011,2011,2,80.0,48.4,20.0,34.6,110.2,107.2,50.7,1.55,96.0
136,Atlanta Hawks,Atlanta Hawks_2_2011,2011,2,79.8,44.8,19.3,30.7,102.9,106.0,50.8,1.57,89.42
137,Charlotte Bobcats,Charlotte Bobcats_2_2011,2011,2,78.6,45.2,15.8,31.2,108.0,106.9,50.8,1.66,90.63
138,New York Knicks,New York Knicks_2_2011,2011,2,83.6,45.2,25.4,33.9,106.9,106.9,48.8,1.48,97.1
139,Detroit Pistons,Detroit Pistons_2_2011,2011,2,81.2,46.5,14.2,41.1,108.6,111.7,48.1,1.74,88.75
140,New Orleans Hornets,New Orleans Hornets_2_2011,2011,2,78.8,46.2,16.3,33.3,105.8,107.9,48.5,1.74,88.4
141,Cleveland Cavaliers,Cleveland Cavaliers_2_2011,2011,2,83.6,46.7,18.9,39.4,110.8,114.5,48.2,1.75,94.74
142,Toronto Raptors,Toronto Raptors_2_2011,2011,2,80.4,47.7,9.6,26.4,104.8,112.7,47.8,1.77,92.77
143,Milwaukee Bucks,Milwaukee Bucks_2_2011,2011,2,81.4,40.8,21.3,30.6,98.7,101.1,47.3,1.44,90.88
144,Utah Jazz,Utah Jazz_2_2011,2011,2,82.0,47.3,13.3,25.2,107.4,111.7,51.0,1.68,93.38
145,Minnesota Timberwolves,Minnesota Timberwolves_2_2011,2011,2,86.1,40.8,21.7,33.0,101.2,109.7,52.7,1.17,95.23
146,Sacramento Kings,Sacramento Kings_2_2011,2011,2,82.7,45.9,12.8,33.1,102.4,110.8,51.1,1.14,98.15
147,New Jersey Nets,New Jersey Nets_2_2011,2011,2,83.9,42.3,17.5,31.6,99.7,109.6,48.6,1.63,91.67
148,Washington Wizards,Washington Wizards_2_2011,2011,2,85.0,44.6,13.2,37.3,99.6,111.1,48.1,1.32,95.25
149,Los Angeles Clippers,Los Angeles Clippers_2_2011,2011,2,78.4,44.0,18.3,34.0,100.8,110.5,48.0,1.24,92.81
150,Los Angeles Lakers,Los Angeles Lakers_3_2011,2011,3,85.8,44.6,18.2,32.9,111.3,100.5,50.8,2.12,88.75
151,Oklahoma City Thunder,Oklahoma City Thunder_3_2011,2011,3,80.3,48.3,18.5,39.2,112.5,102.1,50.6,1.6,92.81
152,Chicago Bulls,Chicago Bulls_3_2011,2011,3,79.7,45.8,20.1,36.1,110.9,98.4,54.1,1.74,88.27
153,Denver Nuggets,Denver Nuggets_3_2011,2011,3,81.7,48.7,22.4,40.5,113.2,100.1,54.2,1.73,95.88
154,Houston Rockets,Houston Rockets_3_2011,2011,3,85.8,46.0,22.1,40.1,113.1,105.6,49.6,1.93,95.18
155,Memphis Grizzlies,Memphis Grizzlies_3_2011,2011,3,81.5,49.7,10.9,28.8,111.9,108.1,51.8,1.86,90.46
156,Dallas Mavericks,Dallas Mavericks_3_2011,2011,3,78.8,47.4,23.1,35.8,108.4,104.6,51.0,1.67,93.13
157,Portland Trail Blazers,Portland Trail Blazers_3_2011,2011,3,78.9,46.2,19.9,35.4,110.9,104.4,51.5,1.65,87.28
158,Miami Heat,Miami Heat_3_2011,2011,3,75.3,49.3,18.3,36.9,113.2,108.9,52.4,1.54,90.27
159,Orlando Magic,Orlando Magic_3_2011,2011,3,75.5,46.2,25.4,39.4,105.9,103.5,51.4,1.2,90.58
160,Los Angeles Clippers,Los Angeles Clippers_3_2011,2011,3,81.3,47.0,17.1,33.8,105.2,105.4,50.9,1.45,94.6
161,New Orleans Hornets,New Orleans Hornets_3_2011,2011,3,79.2,46.4,14.5,36.5,108.8,109.6,49.4,1.59,88.13
162,Boston Celtics,Boston Celtics_3_2011,2011,3,74.2,46.8,11.9,31.6,103.6,100.2,49.5,1.57,89.31
163,Philadelphia 76ers,Philadelphia 76ers_3_2011,2011,3,87.3,46.3,16.4,39.3,105.9,104.5,48.7,1.92,94.39
164,Milwaukee Bucks,Milwaukee Bucks_3_2011,2011,3,79.9,44.7,17.8,37.9,102.9,102.1,48.9,1.5,89.45
165,San Antonio Spurs,San Antonio Spurs_3_2011,2011,3,81.1,47.9,23.8,38.4,111.2,110.9,47.8,1.55,92.41
166,Atlanta Hawks,Atlanta Hawks_3_2011,2011,3,76.1,47.2,15.5,38.4,103.8,107.7,48.7,1.66,87.93
167,Indiana Pacers,Indiana Pacers_3_2011,2011,3,80.9,44.3,16.2,31.6,103.1,107.4,49.2,1.1,95.81
168,New Jersey Nets,New Jersey Nets_3_2011,2011,3,86.6,43.6,20.1,34.5,103.5,107.0,50.9,1.64,91.18
169,Charlotte Bobcats,Charlotte Bobcats_3_2011,2011,3,76.7,44.9,11.5,26.6,99.3,109.3,48.5,1.5,89.07
